constraint,accuracy,recall(dsr),precision,f1,classification threshold,fpr,data percentage
all,0.8220833333333334,0.8738888888888889,0.791844953435691,0.8308464280998284,-0.002685546875,0.22972222222222222,0.95
all,0.8361111111111111,0.81375,0.8518464669962198,0.8323625514987925,-0.00323486328125,0.14152777777777778,0.97
all,0.7858333333333334,0.5955555555555555,0.9614349775784753,0.7355060034305317,-0.004700317382812494,0.02388888888888889,0.99
all,0.7319444444444444,0.4697222222222222,0.9877336448598131,0.636671686746988,-0.00543212890625,0.005833333333333334,0.995
