# prompt_constrained_16_denoised_000times,prompt_constrained_16_denoised_050times,prompt_constrained_16_denoised_100times,prompt_constrained_16_denoised_150times,prompt_constrained_16_denoised_200times,prompt_constrained_16_denoised_250times,prompt_constrained_16_denoised_300times,prompt_constrained_16_denoised_350times,prompt_constrained_32_denoised_000times,prompt_constrained_32_denoised_050times,prompt_constrained_32_denoised_100times,prompt_constrained_32_denoised_150times,prompt_constrained_32_denoised_200times,prompt_constrained_32_denoised_250times,prompt_constrained_32_denoised_300times,prompt_constrained_32_denoised_350times,prompt_constrained_64_denoised_000times,prompt_constrained_64_denoised_050times,prompt_constrained_64_denoised_100times,prompt_constrained_64_denoised_150times,prompt_constrained_64_denoised_200times,prompt_constrained_64_denoised_250times,prompt_constrained_64_denoised_300times,prompt_constrained_64_denoised_350times,prompt_unconstrained_denoised_000times,prompt_unconstrained_denoised_050times,prompt_unconstrained_denoised_100times,prompt_unconstrained_denoised_150times,prompt_unconstrained_denoised_200times,prompt_unconstrained_denoised_250times,prompt_unconstrained_denoised_300times,prompt_unconstrained_denoised_350times,is_malicious
4.428100585937500000e-02,4.568481445312500000e-02,4.486083984375000000e-02,4.132080078125000000e-02,4.321289062500000000e-02,4.208374023437500000e-02,4.168701171875000000e-02,4.238891601562500000e-02,4.544067382812500000e-02,4.449462890625000000e-02,4.537963867187500000e-02,4.299926757812500000e-02,4.187011718750000000e-02,4.190063476562500000e-02,4.360961914062500000e-02,4.367065429687500000e-02,4.498291015625000000e-02,4.577636718750000000e-02,4.458618164062500000e-02,4.516601562500000000e-02,4.394531250000000000e-02,4.461669921875000000e-02,4.379272460937500000e-02,4.272460937500000000e-02,4.269409179687500000e-02,4.360961914062500000e-02,4.364013671875000000e-02,4.327392578125000000e-02,4.583740234375000000e-02,4.382324218750000000e-02,4.232788085937500000e-02,4.415893554687500000e-02,1.000000000000000000e+00
6.756591796875000000e-02,7.312011718750000000e-02,7.006835937500000000e-02,6.457519531250000000e-02,6.488037109375000000e-02,6.707763671875000000e-02,6.311035156250000000e-02,6.500244140625000000e-02,7.244873046875000000e-02,7.214355468750000000e-02,7.000732421875000000e-02,6.982421875000000000e-02,6.610107421875000000e-02,6.591796875000000000e-02,6.677246093750000000e-02,6.848144531250000000e-02,7.263183593750000000e-02,7.177734375000000000e-02,7.354736328125000000e-02,7.281494140625000000e-02,7.604980468750000000e-02,7.135009765625000000e-02,6.909179687500000000e-02,6.677246093750000000e-02,6.665039062500000000e-02,6.768798828125000000e-02,6.781005859375000000e-02,6.726074218750000000e-02,7.269287109375000000e-02,6.756591796875000000e-02,6.488037109375000000e-02,6.933593750000000000e-02,1.000000000000000000e+00
5.627441406250000000e-02,5.899047851562500000e-02,5.603027343750000000e-02,5.441284179687500000e-02,5.410766601562500000e-02,5.520629882812500000e-02,5.432128906250000000e-02,5.447387695312500000e-02,5.831909179687500000e-02,5.847167968750000000e-02,6.002807617187500000e-02,5.984497070312500000e-02,5.609130859375000000e-02,5.429077148437500000e-02,5.648803710937500000e-02,5.657958984375000000e-02,5.947875976562500000e-02,5.953979492187500000e-02,5.819702148437500000e-02,6.146240234375000000e-02,6.222534179687500000e-02,6.103515625000000000e-02,5.807495117187500000e-02,5.715942382812500000e-02,5.062866210937500000e-02,5.163574218750000000e-02,5.252075195312500000e-02,5.233764648437500000e-02,5.487060546875000000e-02,5.239868164062500000e-02,5.194091796875000000e-02,5.261230468750000000e-02,1.000000000000000000e+00
7.073974609375000000e-02,6.951904296875000000e-02,6.665039062500000000e-02,6.414794921875000000e-02,6.420898437500000000e-02,6.658935546875000000e-02,6.475830078125000000e-02,6.579589843750000000e-02,7.397460937500000000e-02,7.336425781250000000e-02,7.073974609375000000e-02,6.707763671875000000e-02,6.365966796875000000e-02,6.585693359375000000e-02,6.451416015625000000e-02,6.744384765625000000e-02,7.440185546875000000e-02,7.318115234375000000e-02,7.269287109375000000e-02,7.269287109375000000e-02,7.342529296875000000e-02,7.012939453125000000e-02,6.848144531250000000e-02,6.640625000000000000e-02,7.116699218750000000e-02,7.177734375000000000e-02,7.238769531250000000e-02,7.208251953125000000e-02,7.476806640625000000e-02,7.110595703125000000e-02,6.939697265625000000e-02,7.104492187500000000e-02,1.000000000000000000e+00
4.757690429687500000e-02,4.638671875000000000e-02,4.339599609375000000e-02,4.028320312500000000e-02,4.074096679687500000e-02,4.412841796875000000e-02,4.165649414062500000e-02,4.400634765625000000e-02,5.142211914062500000e-02,4.959106445312500000e-02,4.879760742187500000e-02,4.605102539062500000e-02,4.141235351562500000e-02,4.345703125000000000e-02,4.241943359375000000e-02,4.467773437500000000e-02,4.974365234375000000e-02,4.879760742187500000e-02,4.946899414062500000e-02,4.919433593750000000e-02,5.130004882812500000e-02,4.965209960937500000e-02,4.641723632812500000e-02,4.479980468750000000e-02,4.580688476562500000e-02,4.684448242187500000e-02,4.687500000000000000e-02,4.684448242187500000e-02,5.020141601562500000e-02,4.840087890625000000e-02,4.785156250000000000e-02,4.925537109375000000e-02,1.000000000000000000e+00
6.567382812500000000e-02,6.817626953125000000e-02,6.579589843750000000e-02,6.143188476562500000e-02,6.137084960937500000e-02,6.268310546875000000e-02,6.030273437500000000e-02,6.176757812500000000e-02,7.073974609375000000e-02,7.000732421875000000e-02,6.677246093750000000e-02,6.805419921875000000e-02,6.518554687500000000e-02,6.323242187500000000e-02,6.222534179687500000e-02,6.408691406250000000e-02,7.104492187500000000e-02,7.012939453125000000e-02,7.037353515625000000e-02,6.988525390625000000e-02,7.562255859375000000e-02,7.006835937500000000e-02,6.793212890625000000e-02,6.488037109375000000e-02,6.024169921875000000e-02,6.179809570312500000e-02,6.188964843750000000e-02,6.182861328125000000e-02,6.658935546875000000e-02,6.115722656250000000e-02,5.990600585937500000e-02,6.137084960937500000e-02,1.000000000000000000e+00
3.280639648437500000e-02,3.323364257812500000e-02,3.240966796875000000e-02,2.790832519531250000e-02,2.828979492187500000e-02,2.932739257812500000e-02,2.876281738281250000e-02,3.009033203125000000e-02,3.771972656250000000e-02,3.649902343750000000e-02,3.482055664062500000e-02,3.271484375000000000e-02,2.958679199218750000e-02,3.030395507812500000e-02,2.949523925781250000e-02,3.099060058593750000e-02,3.509521484375000000e-02,3.442382812500000000e-02,3.485107421875000000e-02,3.341674804687500000e-02,3.598022460937500000e-02,3.314208984375000000e-02,3.332519531250000000e-02,3.131103515625000000e-02,2.720642089843750000e-02,2.684020996093750000e-02,2.770996093750000000e-02,2.717590332031250000e-02,2.854919433593750000e-02,2.781677246093750000e-02,2.757263183593750000e-02,2.838134765625000000e-02,1.000000000000000000e+00
6.475830078125000000e-02,6.683349609375000000e-02,6.225585937500000000e-02,6.005859375000000000e-02,5.960083007812500000e-02,6.045532226562500000e-02,5.813598632812500000e-02,5.960083007812500000e-02,6.738281250000000000e-02,6.945800781250000000e-02,6.524658203125000000e-02,6.420898437500000000e-02,6.054687500000000000e-02,6.018066406250000000e-02,6.091308593750000000e-02,6.268310546875000000e-02,6.933593750000000000e-02,6.732177734375000000e-02,6.677246093750000000e-02,6.665039062500000000e-02,6.982421875000000000e-02,6.823730468750000000e-02,6.323242187500000000e-02,6.280517578125000000e-02,6.195068359375000000e-02,6.256103515625000000e-02,6.365966796875000000e-02,6.256103515625000000e-02,6.713867187500000000e-02,6.234741210937500000e-02,5.880737304687500000e-02,6.372070312500000000e-02,1.000000000000000000e+00
6.146240234375000000e-02,6.134033203125000000e-02,5.993652343750000000e-02,5.636596679687500000e-02,5.694580078125000000e-02,5.844116210937500000e-02,5.511474609375000000e-02,5.709838867187500000e-02,6.451416015625000000e-02,6.396484375000000000e-02,6.304931640625000000e-02,6.094360351562500000e-02,5.810546875000000000e-02,5.801391601562500000e-02,5.752563476562500000e-02,5.886840820312500000e-02,6.439208984375000000e-02,6.427001953125000000e-02,6.365966796875000000e-02,6.445312500000000000e-02,6.610107421875000000e-02,6.427001953125000000e-02,6.118774414062500000e-02,5.813598632812500000e-02,6.094360351562500000e-02,6.201171875000000000e-02,6.149291992187500000e-02,6.146240234375000000e-02,6.585693359375000000e-02,6.219482421875000000e-02,6.127929687500000000e-02,6.390380859375000000e-02,1.000000000000000000e+00
7.391357421875000000e-02,7.598876953125000000e-02,7.324218750000000000e-02,6.988525390625000000e-02,7.073974609375000000e-02,7.281494140625000000e-02,7.073974609375000000e-02,7.177734375000000000e-02,7.531738281250000000e-02,7.501220703125000000e-02,7.495117187500000000e-02,7.397460937500000000e-02,7.202148437500000000e-02,7.171630859375000000e-02,7.342529296875000000e-02,7.507324218750000000e-02,7.434082031250000000e-02,7.464599609375000000e-02,7.366943359375000000e-02,7.434082031250000000e-02,7.672119140625000000e-02,7.525634765625000000e-02,7.336425781250000000e-02,7.379150390625000000e-02,6.719970703125000000e-02,6.835937500000000000e-02,6.842041015625000000e-02,6.823730468750000000e-02,7.196044921875000000e-02,6.829833984375000000e-02,6.732177734375000000e-02,6.982421875000000000e-02,1.000000000000000000e+00
6.982421875000000000e-02,7.458496093750000000e-02,6.976318359375000000e-02,6.634521484375000000e-02,6.524658203125000000e-02,6.787109375000000000e-02,6.323242187500000000e-02,6.518554687500000000e-02,7.409667968750000000e-02,7.446289062500000000e-02,7.348632812500000000e-02,6.988525390625000000e-02,6.744384765625000000e-02,6.921386718750000000e-02,6.640625000000000000e-02,6.744384765625000000e-02,7.293701171875000000e-02,7.135009765625000000e-02,7.177734375000000000e-02,7.299804687500000000e-02,7.617187500000000000e-02,7.501220703125000000e-02,7.031250000000000000e-02,6.958007812500000000e-02,6.481933593750000000e-02,6.652832031250000000e-02,6.695556640625000000e-02,6.701660156250000000e-02,7.220458984375000000e-02,6.854248046875000000e-02,6.542968750000000000e-02,6.829833984375000000e-02,1.000000000000000000e+00
