constraint,accuracy,recall,precision,f1,classification threshold,fpr,data percentage
all,0.850609756097561,0.75,0.9389312977099237,0.8338983050847458,-0.003936767578125,0.04878048780487805,0.95
all,0.8140243902439024,0.6463414634146342,0.9724770642201835,0.7765567765567767,-0.00494384765625,0.018292682926829267,0.975
all,0.7408536585365854,0.4878048780487805,0.9876543209876543,0.6530612244897959,-0.006122436523437498,0.006097560975609756,0.99
all,0.7286585365853658,0.4573170731707317,1.0,0.6276150627615064,-0.006560211181640624,0.0,0.995
